date,username,tweet,polarity
2021-12-29,nizaryudharta,cair dukung merdeka ajar kampus merdeka terus tah lewat,1
2021-12-29,A_3dualapan,mapel pkn sama sejarah indonesia smpe besar ajar mulai amal pancasila uud proses bentuk nkri merdeka ajar hitung an beli buku latsol terus gambar psikotes,1
2021-12-29,nu_online,semangat merdeka ajar pergunu jakarta latih guru inovatif kreatif kembang literasi digital,1
2021-12-29,Islahuddyn,merdeka ajar merdeka tentu nilai,1
2021-12-29,Kemdikbud_RI,isi libur akhir tahun kenal lebih banyak budaya indonesia kanal dapat saksi agam tayang budaya bisa akses laman,1
2021-12-29,BadanBahasa,moga buku buku sebut dapat beri manfaat terima,1
2021-12-29,PAUDDikdasmen,ayo dukung indonesia final piala aff leg pertama lawan thailand ikan semangat tim indonesia lalu kolom komentar,1
2021-12-29,Kemdikbud_RI,serta ikut seluruh rangkai acara lalu zoom hak dapat sertifikat ayo segera daftar diri,2
2021-12-29,Kemdikbud_RI,hujung webinar hadir tema wujud sdm unggul lalu kip kuliah merdeka luas beasiswa lpdp ikut kamis desember pukul wib,2
2021-12-29,gutws,kampus ajar kok merdeka ajar maaf,1
2021-12-29,isbibandung,umum hasil akhir seleksi terima calon pegawai negeri sipil lingkung isbi bandung tahun,1
2021-12-29,gutws,magang merdeka studi independen sama program bangkit tau minimal kampus merdeka lewat daftar maksud program merdeka ajar kok lanjut program kayak iisma,2
2021-12-29,Kemdikbud_RI,indonesia indonesia indonesia saksi final piala asean football federation aff leg pertama indonesia lawan thailand jangan lupa ikan semangat,2
2021-12-29,dicoding,tunggu manfaat sempat daftar diri sekarang daftar panjang hingga januari,1
2021-12-29,SenatorSigit,web merdeka ajar,1
2021-12-29,LPMP_KepBabel,bupati bangka mulkan mh dukung penuh laksana program sekolah gerak turun bijak merdeka ajar cetus menteri didik budaya riset teknologi rabu,1
2021-12-29,athenaless,kayak beda bukan merdeka ajar kampus merdeka beda sistem,2
2021-12-29,athenaless,kayak program tukar merdeka ajar kampus merdeka jangan alam aku kemarin sekarang hampir gila,2
2021-12-29,AmorphousSpace,mbkm pts teliti dampak bijak merdeka ajar kampus merdeka via,2
2021-12-29,fhunmul,program beasiswa merdeka ajar menteri didik budaya riset dan teknologi intitute,1
2021-12-29,beritapanturaid,igtki kota kalong wujud program merdeka ajar,1
2021-12-29,urangelowf,akhir tahun banyak beban liar kepala utama semenjakdapat tawar dosen bimbing aku ikut program merdeka ajar kampus merdeka mbkm program teliti riset,2
2021-12-29,itbofficial,tim hidrografi itb damping desa pangandaran jadi tsunami ready unescobaca berita lengkap laman,2
2021-12-29,bbkalteng,pernah tanya tanya guna kata ikut simak jelas salam literasi,2
2021-12-28,hadne08452665,merdeka ajar didik ambyar,1
2021-12-28,hedy20lim,merdeka ajar orang tua gak boleh pilih pjj harus taat ptm batas max jam mulai semester keren lalu espeka bukan sekolah espeka lah rata jam sekolah,2
2021-12-28,BadanBahasa,halo telah baca unggah hari moga tidak salah guna tanda seru tulis,1
2021-12-28,Kemdikbud_RI,tahun mau akhir kamu masih tulis rubah coba perhati jelas ikut kapan kamu mau ubah,1
2021-12-28,INSPIRASI_Fndtn,kamu mau didik kita lebih baik kamu harus kenal istilah ayo siapa tahu jawab tulis kolom komentar,1
2021-12-28,eCampuzOfficial,desember tim ecampuz ada rapat koordinasi kenal modul mbkm universitas papua rangkai implementasi merdeka ajar kampus merdeka aplikasi simunipa mau tahu lebih lanjut simak link ikut,2
2021-12-28,Fatnia161,merdeka ajar didik anak makin moderasi,1
2021-12-28,kumparan,mahasiswa dorong libat aktif manfaat sempat tingkat kapasitas lewat program merdeka ajar kampus merdeka mbkm,1
2021-12-28,ditjendikti,halo pasti dapat informasi putar cair dukung program kampus merdeka program merdeka ajar kampus merdeka lain bagai kanal resmi ditjen diktiristek maupun program program flagship kanal kanal resmi,1
2021-12-28,isbibandung,informasi snmptn cara lihat umum kuota sekolah,1
2021-12-28,kumparan,unesa fasilitas sedia laboratorium merdeka ajar teman proses ajar dalam edukasi utama tingkat wawas konservasi lingkung,1
2021-12-28,litbangdikbud,mahasiswa indonesia elsa putri pertiwi reno ardi syaputra muhammad fakhri wijayanto hasil harum nama indonesia kancah internasional,1
2021-12-28,akhlanudin17,seminar program teliti merdeka ajar kampus merdeka mbkm abdi masyarakat bas teliti purwarupa pts kerja sama uhamka ditjen dikti ristek menteri didik budaya riset dan teknologi,1
2021-12-28,jawapos,tingkat mutu didik lalu program merdeka ajar episode,1
2021-12-28,isbibandung,find something incredible inside kamu burn pesan shinda regina raih ipk tinggi wakil wisudawan isbi bandung tahun,1
2021-12-28,akhlanudin17,cair dukung merdeka ajar kampus merdeka terus tahun,1
2021-12-28,mfakhrifirdauss,magang merdeka ajar kampus merdeka,1
2021-12-28,cityguide911fm,kurikulum prototipe gera inovasi merdeka ajar,1
2021-12-28,leroygladion,lanjut beri materi kena magang merdeka ajar kampus merdeka ipb sampai fitri,2
2021-12-28,brilliandaru,materi sesi fitriyah desriyanti magang merdeka ajar kampus merdeka ipbcda ipb career kembang assesment sub unit bawah direktorat mahasiswa kembang karir,1
2021-12-28,Dafa_2521,materi magang merdeka ajar kampus merdeka ipb bawa kakak fitriyah desriyanti,2
2021-12-28,ce2h6,telah dapat materi kena bagaimana cara optimalisasi peran ormawa kembang prestasi mahasiswa ipb lanjut beri materi magang merdeka ajar kampus merdeka ipb bawa fitri,2
2021-12-28,raja_alharfy,diskusi ormawa sama mbak fitri magang merdeka ajar kampus merdeka ipb,1
2021-12-28,dias_mdf,magang merdeka ajar kampus merdeka boleh fitriyah desriyanti,1
2021-12-28,bocahbah,materi sampai olek pipit materi magang merdeka ajar kempus merdeka ipb,2
2021-12-28,pindapinnn,materi sembilan lkmm hari bawa fitriyah desriyanti cda ipb career develompment assesment kena magang merdeka ajar kampus merdeka ipb,2
2021-12-28,mshalalhmdllh3,materi sesi lkmm ipb bahas kait magang merdeka ajar kampus merdeka ipb sampai fitriyah desriyanti,1
2021-12-28,alikhlasmu,podcast tv show merdeka ajar perspektif madrasah lewat,0
2021-12-28,aleeeeepppp,materi ga kalah seru saji fitriyah desriyanti kena magang merdeka ajar kampus merdeka ipb,1
2021-12-28,itbofficial,kontribusi teknik pangan itb maju industri pangan indonesiabaca berita lengkap laman,2
2021-12-28,bkpsdm_bdg,halo asners kepala bkpsdm kota bandung adi junjunan mustafa beri bekal kepada calon kepala sekolah profesional kota bandung hadap era pimpin merdeka ajar prime park hotel senin,1
2021-12-28,kb_ntb,cara tulis fonem q bahasa samawa sumbawa,2
2021-12-28,unisbaofficial,komhumas rangka rumus tetap mata kuliah implementasi merdeka ajar kampus merdeka,2
2021-12-28,Kemdikbud_RI,lebah hanya minum sari nektar bunga tawon makan serangga minum nektar lebah tawon sama sama hidup kolon lebah milik jumlah koloni lebih banyak sdgkan beberapa spesies tawon pilih hidup tanpa koloni,2
2021-12-28,Kemdikbud_RI,jawab tawon tawon lebah kilas memang rupa tidak sama beda tawon lebah letak bentuk tubuh tawon bentuk silinder lebah bulat,2
2021-12-28,pikiran_rakyat,sempat kendala menteri didik budaya riset dan teknologi pasti cair dana merdeka ajar kampus merdeka terus,1
2021-12-27,DeoVanny3,program merdeka ajar kampus merdeka buka sempat kepada ribu mahasiswa ajar kembang diri luar guru tinggi mereka program,1
2021-12-27,mediaindonesia,menteri didik budaya riset teknologi menteri didik budaya riset dan teknologi aku jadi lambat cair uang saku jumlah mahasiswa mitra program merdeka ajar kampus merdeka mbkm tahun sumber,2
2021-12-27,mediaindonesia,program merdeka ajar kampus merdeka mbkm bangkit mitra ditjen didik tinggi menteri didik budaya riset dan teknologi google gojek tokopedia traveloka deeptech foundation milik program dapat kembang soft skill mahasiswa sumber,1
2021-12-27,TVMuhammadiyah,live podcast tv show merdeka ajar perspektif madrasahselasa desember wibhanya tvmu saksi lalu youtube tvmu channel,1
2021-12-27,indhie_com,uang serta merdeka ajar kampus merdeka cair tahun depan,1
2021-12-27,isbibandung,tari galura skripsi mellisa lestari dewi tahun,1
2021-12-27,JogjaVersitas,cepat jadi research excellent universitas lembaga riset inovasi umy adakan seminar nasional merdeka ajar kampus merdeka mbkm,1
2021-12-27,Kemdikbud_RI,tahu tidak ini apa nama hewan gambar bantu martha tebak,2
2021-12-27,kompascom,pasti proses cair program merdeka ajar kampus merdeka masih tunda lanjut tahun hingga semua selesai,0
2021-12-27,bit_bppt,serah sertifikat latih kewirausahaan desember hari pak agus widodo selaku kepala kantor bit serah sertifikat latih kewirausahaan magang merdeka ajar kampus merdeka set main simulasi bisnis,1
2021-12-27,beritajatimcom,universitas agustus untag surabaya konsisten terap bijak merdeka ajar kampus merdeka,0
2021-12-27,liniindonesia,merdeka ajar kampus merdeka lanjut tahun,2
2021-12-27,kalderanews,bagi merdeka ajar umn lsf kerjasama budaya sensor mandiri,2
2021-12-27,PAUDDikdasmen,halo bapak ir soekarno pernah kata mimpi setinggi langit kau jatuh kau jatuh antara bintang bintang apa mimpi tulis kolom komentar,2
2021-12-27,fadamsh,kerja simkatmawa ipb terus tingkat tahun nilai program kerja arah giat lomba terjaut kampus merdeka merdeka ajar wirausaha abdi masyarakat program manusia,1
2021-12-27,usakti_official,berita teknik sipil ftsp usakti program studi teknik sipil ftsp universitas trisakti beberapa mitra industri ada acara lokakarya diskusi hasil magang merdeka ajar kampus merdeka langsung daring hari sabtu desember,2
2021-12-27,itbofficial,buat kosmetik bahan herbal mahasiswa sekolah farmasi raih juara herbal cosmetic competition baca berita lengkap laman,1
2021-12-27,RyaWiedy,siswa kelas masih dapat mapel umum smp tidak ada kelas mipa ips kelas siswa boleh pilih sendiri kombinasi mapel sesuai minat ambil jenjang didik tinggi tentu bimbing arah guru,1
2021-12-27,kb_ntb,kata bebet bahasa mbojo bima,2
2021-12-27,medianekita,sempat tunda cair program merdeka ajar kampus merdeka lanjut hingga tahun depan,2
2021-12-27,KemensetnegRI,digitalisasi didik g indonesia tuju merdeka ajar,0
2021-12-26,detikcom,kemendikbud tegas cair dana program merdeka ajar kampus merdeka terus tahun,1
2021-12-26,MataKompas_News,komite sman medan kembang program merdeka ajar,1
2021-12-26,posmetromedan1,komite sama negeri medan gagas program merdeka ajar,1
2021-12-26,liputan_68,komite sman medan gagas program merdeka ajar,0
2021-12-26,TuitJabar,mahasiswa fakultas desain unikom prestasi merdeka ajar kampus merdeka,1
2021-12-26,BaliEkbis,menteri didik budaya riset dan teknologi gelar luncur wiyata karya merdeka ajar,1
2021-12-26,Kemdikbud_RI,nyata libur rumah sama keluarga milik banyak manfaat cerita tertawa sama dapat erat hubung antaranggota keluarga tahu manfaat lain,1
2021-12-26,kursuskita,selamat hari raya natal seluruh saudara tanah air raya moga berkah damai selalu serta kita semua wujud generasi kompeten indonesia maju,1
2021-12-26,chrisdeS_sravA,masih wajar begini sebut proyek kemdikbud ristek layak mbkm merdeka ajar kampus merdeka,2
2021-12-26,gallyndradinata,maksud saing praktisi didik merdeka ajar lebih kompetitif,1
2021-12-26,collegemenfess,halo teman semua waktu luang aku minta tolong bantu isi kuisioner uas aku kampanye kait program merdeka ajar kampus merdeka mbkm soal masih butuh kisar an responden mahasiswa kota bandung hadiah ovo cont,2
2021-12-26,collegemfs,akang teteh mau tanya kakak perempuan ikut kampus merdeka ajar ai bisa dot ai academy bagus ga yaaa,1
2021-12-26,codingfess,akang teteh mau tanya kakak perempuan ikut kampus merdeka ajar ai bisa dot ai academy bagus the code ga yaaa nuhunn,1
2021-12-26,UdaDalias,sekali tarik dulu kurikulum kan hamba tidak perlu capek ajar fisika kimia ktika kelas sama akhir baru menemuka merdeka ajar masuk ipspelajaran fav waktu smabiologygeography sociologyeconomy mtkips,1
2021-12-26,perpusdikbud,libur akhir tahun telah tiba isi libur salah satu baca cerita sama keluarga kalian dapat akses buku baca literasi,1
2021-12-25,isbibandung,ingat hari natal umat kristiani desember,1
2021-12-25,Kemdikbud_RI,tahu agam tradisi raya natal penjuru indonesia bagaimana raya natal tahun cerita,1
2021-12-25,LPMP_KepBabel,selamat hari natal desember selamat tahun baru januari raya,1
2021-12-25,TuguJogja_id,terima hibah program merdeka ajar kampus merdeka,1
2021-12-25,kniukemdikbud,selamat natal raya sekira pribadi berkat lindung tuhan selalu serta kita keluarga,1
2021-12-25,litbangdikbud,selamat hari natal selamat nikmat hangat sama,1
2021-12-25,kampusinfo,sudah merdeka ajar kampus merdeka merdeka mahasiswa,1
2021-12-25,litbangdikbud,informasi praktik baik lain dapat akses lalu laman bskap menteri didik budaya riset dan teknologi inovasi,1
2021-12-25,litbangdikbud,sekolah alam ilalang komunitas literasi beri cerita juang giat literasi semarak semangat baca tulis anak anak guru kota batu,1
2021-12-25,litbangdikbud,ajar sebut buat ajar makin makna serta didik,1
2021-12-25,litbangdikbud,negeri pangarangan lihat ruang kreasi inovasi sangat transformatif kepala sekolah guru terap ajar tematik,1
2021-12-25,litbangdikbud,tim bskap lanjut ajar bagaimana sukses terap kurikulum darurat negeri batu,2
2021-12-25,litbangdikbud,kunjung dinas didik kabupaten sumenep lihat bagaimana dukung perintah daerah jadi salah satu kunci hasil transformasi didik indonesia,1
2021-12-25,litbangdikbud,tim bskap unjung dinas didik kabupaten sumenep negeri batu negeri pangarangan sekolah alam ilalang kota batu komunitas giat literasi,2
2021-12-25,litbangdikbud,sekretariat bskap menteri didik budaya riset dan teknologi laksana hari program inovasi laku giat monev kabupaten sumenep kota batu provinsi jawa timur desember,1
2021-12-25,bgpprovinsintb,posting ulang from selamat hari natal umat kristiani moga gembira damai natal serta kita semua,1
2021-12-25,akhlanudin17,uhamka wujud program teliti bijak merdeka ajar kampus merdeka abdi masyarakat bas hasil teliti purwarupa langsung didanani perintah,1
2021-12-25,lpmkompen,berita putar kampus sosialisasi program merdeka ajar kampus merdeka selenggara selasa anda dapat lanjut baca website kami link bio tulis amyrahlpm kompensasi kritis dinamis,2
2021-12-25,Kemdikbud_RI,selamat hari natal umat kristiani moga gembira damai natal serta kita semua,1
2021-12-25,rambutan1970,buku lama tidak bisa dilungsurin kekal rumus ganti jabat ganti kurikulum merdeka ajar in your dream,2
2021-12-25,PAUDDikdasmen,selamat natal desember moga damai selalu serta kita semua,1
2021-12-25,perpusdikbud,selamat hari natal raya moga damai hati selalu lindung tuhan tetap jaga sehat sahabat pus dikbud,1
2021-12-25,paudpedia,selamat natal desember raya moga damai bahagia serta kita semua,1
2021-12-24,kb_ntb,kantor bahasa provinsi nusa tenggara barat ucap selamat hari natal raya moga kasih damai natal selalu serta kita,1
2021-12-24,korantempo,mulai tahun ajar baru siswa sama jalan kurikulum prototipe cukup pilih ajar anggap dukung cita cita bagi program merdeka ajar besut menteri didik nadiem anwar makarim,1
2021-12-24,Thetanaya,didik merdeka ajar versi universitas sekarang didik penting hasil bukan proses orang harga proses bahkan injak baik lebih baik gak perlu ikut kelas langsung kerja tugas uji,1
2021-12-24,industrycoid,president universitas siap lahir enterpreneur lewat enterpreneurial learning model menteri didik budaya riset teknologi kemendikbud ristek gelar program merdeka ajar kampus merdeka program libat jumlah guru,1
2021-12-24,Kemdikbud_RI,ambil tiap sempat baik raih mimpi jangan sempat lewat begitu kata tulis asal amerika william arthur ward,2
2021-12-24,itbofficial,mahasiswa teknik geodesi geomatika itb juara kompetisi meta internasionalbaca berita lengkap laman,2
2021-12-24,BB_Kalbar,sumber swasembada media bisnis bkhm menteri didik budaya riset dan teknologi,0
2021-12-24,tipaa,akhir dapat hilal ga mudah penuh terima kasih teman usaha dengar kami salam merdeka ajar,1
2021-12-24,Suarajelata1,program kampus merdeka ajar prodi administrasi publik fisip umsi teliti polemik implementasi program magang mbkm,0
2021-12-24,dicoding,segera daftar gratis jumpa,1
2021-12-24,kb_ntb,informasi lengkap simak lalu taut siar pers menteri didik budaya riset dan teknologi ikut,2
2021-12-24,isbibandung,isbi bandung kenal angklung jeung suling arab,0
2021-12-24,ditjendikti,halo duta kampus merdeka telah buka program rupa buah komunitas ajak dosen guru tinggi indonesia kontribusi akselerasi sosialisasi implementasi program,1
2021-12-24,kb_ntb,kata balumba bahasa mbojo bima,2
2021-12-24,KantorBahasaKT,hai kita kenal kata izin lalu video ikut,2
2021-12-24,itbofficial,kolaborasi teliti itb universitas jember gali potensi alam kota ribu gumukbaca berita lengkap laman,2
2021-12-24,DPR_RI,program magang rumah rakyat telah resmi tutup ketua dpr ri puan maharani kamis desember bagaimana kesan kesan mereka ikut telah program magang rumah rakyat simak video ikut,2
2021-12-24,DPR_RI,sekretariat jenderal dpr ri selenggara tutup program magang rumah rakyat kamis desember,1
2021-12-23,ailikematcha,permisi mau tanya stupen individu kelompok yaa terus maaf bisa minta tolong cerita alur daftar ga kak aku tarik ikut merdeka ajar masih bingung terima kasih,2
2021-12-23,ailikematcha,mjb tanya ikut magang program merdeka ajar tuuu kan kelompok nah kelompok apa harus sama tempat magang terus tempat magang dulu baru daftar program kampus merdeka ajar apa balik maaf tanya banyak aku bingung banget soal,2
2021-12-23,ninishaxx,kampus ajar salah satu program mbkm merdeka ajar kampus merdeka ga salah program tiap program syarat masing masing mau tahu website resmi,1
2021-12-23,an_kylosaurus,mbkm kan singkat merdeka ajar kampus merdeka nah program banyak masuk magang merdeka kredensial mikro salah satu kamu sebutin kampus ajar correct me if i m wrong,2
2021-12-23,BaliEkbis,merdeka ajar smp dwijendra latih kemandiriansiswa,1
2021-12-23,ikadiahn,mau lulus tepat waktu jangan ikut merdeka ajar kecuali sistem atur prodi kamu dukung,1
2021-12-23,Dimasa35274287,jurus ganti jurus merdeka ajar,1
2021-12-23,collegemenfess,haiii selamat malam aku butuh responden teliti perlu uas kriteria tahu program magang merdeka ajar kampus merdeka mbkm apabila kamu kenan isi kuesioner tolong balas tweet terima kasih,2
2021-12-23,RadioElshinta,wujud merdeka ajar menteri didik budaya riset dan teknologi siap kurikulum prototipe,1
2021-12-23,seashorepeony,tidak merdeka ajar bukan semua kampus aku ikut bipa kampus lainn,2
2021-12-23,Kemdikbud_RI,langkah kecil kita bisa buat udara lingkung jadi lebih bersih punya tips lain kita bisa sama sama jadi udara lebih bersih sehat,1
2021-12-23,mbenk5,jeda ajar bulan tahun telah sama moga ruang vokasional back perintah beri ruang teknis kamu keliar imajinatif kompensasi bongkar kurikulum sistem didik tinggi kita merdeka ajar visualisasi embrio gejala liar,2
2021-12-23,collegemenfess,haiii selamat sore aku butuh responden teliti perlu uas kriteria tahu program magang merdeka ajar kampus merdeka mbkm apabila kamu kenan isi kuesioner tolong balas tweet terima kasih,2
2021-12-23,bb_jateng,indeks layan alami tingkat badan bahasa bipa suluh kbbi daring capai salah satu wujud manfaat produk layan badan bahasa masyarakat sumber swasembada media bisnis bkhm menteri didik budaya riset dan teknologi,2
2021-12-23,dicoding,hai masalah sebut bisa tanya langsung program merdeka ajar kampus merdeka mbkm,0
2021-12-23,BalaiBahasaRiau,indeks puas mitra guna mang penting layan badan kembang bina bahasa tingkat tahun sumber swasembada media bisnis bkhm menteri didik budaya riset dan teknologi,2
2021-12-23,bemfikomunisba,fikom hari kamis sedang langsung sosialisasi program merdeka ajar kampus merdeka online laku zoom meeting teman teman fikom belum gabung segera gabung zoom meeting,2
2021-12-23,BadanBahasa,tulis kosakata gambar sebut guna bahasa daerah masing masing kolom komentar,2
2021-12-23,TelkomIndonesia,mulai siap talenta digital lalu program micro perintah kemendikbud isi program merdeka ajar kampus merdeka,1
2021-12-23,DPR_RI,live sekretariat jenderal dpr ri selenggara tutup program magang rumah rakyat kamis desember,1
2021-12-23,collegemenfess,semua selamat siang aku butuh responden teliti perlu uas kriteria tahu program magang merdeka ajar kampus merdeka mbkm apabila kamu kenan isi kuesioner tolong balas tweet terima kasih,2
2021-12-23,isbibandung,emas upacara babangkongan jadi seni tunjuk babangkongan camat jatiwangi kabupaten majalengka,2
2021-12-23,kb_ntb,informasi lupa simak acara siar bahasa sastra besok jumat desember pukul wita tema ekologi sastra jilid ii sampai ning nur alaini rumah,2
2021-12-23,itbofficial,kampus muda itb siap dedikasi cirebonbaca berita lengkap laman,2
2021-12-23,heraldindo,pentas seni budaya tanda lepas mahasiswa inbound merdeka ajar unhas,2
2021-12-23,collegemenfess,semua selamat pagi aku butuh responden teliti perlu uas kriteria tahu program magang merdeka ajar kampus merdeka mbkm apabila kamu kenan isi kuesioner tolong balas tweet terima kasih,2
2021-12-22,hazxlnude,merdeka ajar,1
2021-12-22,collegemenfess,semua aku butuh responden teliti perlu uas kriteria tahu program magang merdeka ajar kampus merdeka mbkm apabila kamu kenan isi kuesioner tolong balas tweet terima kasih,2
2021-12-22,MasMenteri,webinar silaturahmi merdeka ajar hadir ikut silaturahmi merdeka ajar tema lalu tayang seni budaya indonesia kamis desember pukul wib,2
2021-12-22,Kemdikbud_RI,hadir tema lalu tayang seni budaya indonesia kamis desember pukul wib segera daftar ikut seluruh rangkai acara lalu zoom dapat sertifikat,2
2021-12-22,poltekkpsda,dukung program merdeka ajar kampus merdeka politeknik laut ikan sidoarjo laku review kerjasama universitas brawijaya malang wakil dekan fpik ub daduk setyohadi harap segera susun rencana aksi kerjasama sebut,1
2021-12-22,Joglosemarnews,merdeka ajar atas soal dasar didik indonesia,2
2021-12-22,collegemenfess,hai semua aku butuh responden teliti perlu uas kriteria tahu program magang merdeka ajar kampus merdeka mbkm apabila kamu kenan isi kuesioner tolong balas tweet terima kasih,2
2021-12-22,hasanuddin_univ,telah ikut proses ajar lama satu semester universitas hasanuddin resmi lepas banyak mahasiswa inbound program tukar mahasiswa merdeka pmm merdeka ajar kampus merdeka mbkm,2
2021-12-22,RyaWiedy,wadah konsep merdeka ajar kampus ajar mbkm,1
2021-12-22,Kemdikbud_RI,indonesia milik kaya budaya bahasa salah satu panggil ibu unik agam tiap daerah apa panggil ibu daerah asal,2
2021-12-22,zerriath,rispro lpdp sosialisasi tingkat kompetensi guru merdeka ajar learning komunitas lalu implementasi lessonstudy,1
2021-12-22,collegemenfess,hai semua selamat sore aku butuh responden teliti perlu uas kriteria tahu program magang merdeka ajar kampus merdeka mbkm apabila kamu kenan isi kuesioner tolong balas tweet terima kasih,2
2021-12-22,itbofficial,kenal itb kampus cirebon lalu open house pamer kriya eco weekbaca berita lengkap laman,2
2021-12-22,unikomtwit,rektor sivitas akademika universitas komputer indonesia unikom ucap selamat hari ibuuntuk seluruh ibu khusus ibu ketua yayasan urus yayasan science teknologi ibu pimpin ibu dosen staf lingkung unikom,1
2021-12-22,litbangdikbud,presiden soekarno dukung tetap sebut lalu putus presiden nomor tahun hari ibu hari ingat kita atas semangat juang cinta paling murni pernah kita tahu,1
2021-12-22,litbangdikbud,hari ingat kita semangat perempuan hari semangat mereka juang hak hak perempuan tanpa mendeskriditkan laki laki,1
2021-12-22,litbangdikbud,mula kongres perempuan desember tanggal desember ingat bagi hari ibu nasional selamat hari ibu nasional,2
2021-12-22,isbibandung,ingat hari ibu desember,2
2021-12-22,idnjaya89,radar bogor susun instrumen survey implementasi kurikulum merdeka ajar fmipa unb gelar,2
2021-12-22,Official_UNESA,jasa dahulu rektor abadi nama tokoh lab merdeka belajarselengkapnya,1
